path,homepage_gap,homepage_fidelity,dialect,wrapper,hero,sections,container,copy_source,layout_root
/,golden homepage reference,5,homepage,overflow-x-hidden,HomepageHero,homepage-components,other,homepage.ts,site
/about,matches target,5,solutions-like,overflow-x-hidden,none,other,home-shell-xl,inline,site
/access,workspace/catalog lane; not homepage marketing,0,workspace,other,none,mixed,other,inline,site
/brochure,redirect-only route; no marketing shell,0,redirect,other,none,other,other,inline,site
/career,matches target,5,solutions-like,overflow-x-hidden,Hero,homepage-components,other,routeCopy.ts,site
/catalog,redirect-only route; no marketing shell,0,redirect,other,none,other,other,inline,site
/choose-product,workspace/catalog lane; not homepage marketing,0,workspace,other,none,other,other,inline,site
/compare,workspace/catalog lane; not homepage marketing,1,catalog-product,overflow-x-hidden,none,other,home-shell-xl,routeCopy.ts,site
/contact,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,contact-shell,inline,site
/dashboard,workspace/catalog lane; not homepage marketing,0,workspace,other,none,other,other,inline,site
/download-brochure,redirect-only route; no marketing shell,0,redirect,other,none,other,other,inline,site
/downloads,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,routeCopy.ts,site
/gallery,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,routeCopy.ts,site
/imprint,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,inline,site
/login,workspace/catalog lane; not homepage marketing,0,workspace,other,none,other,other,inline,site
/news,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,inline,site
/offline,offline error shell; out of marketing scope,0,offline,other,none,other,other,inline,offline
/planner,delegates to feature module layout,1,feature-delegated,other,none,other,other,inline,planner
/planner/canvas,delegates to feature module layout,1,feature-delegated,other,none,other,other,inline,planner
/planner/features,delegates to feature module layout,1,feature-delegated,other,none,other,other,inline,planner
/planner/features/[slug],delegates to feature module layout,1,feature-delegated,overflow-x-hidden,none,mixed,other,inline,planner
/planner/guest,delegates to feature module layout,1,feature-delegated,other,none,other,other,inline,planner
/planner/help,delegates to feature module layout,1,feature-delegated,other,none,other,other,inline,planner
/planner/open3d,delegates to feature module layout,1,feature-delegated,other,none,other,other,inline,planner
/planning,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,mixed,site
/portal,workspace/catalog lane; not homepage marketing,0,workspace,other,none,other,other,inline,site
/portal/[id],workspace/catalog lane; not homepage marketing,0,workspace,other,none,other,other,inline,site
/portal/guest,redirect-only route; no marketing shell,0,redirect,other,none,other,other,inline,site
/portal/guest/view/[id],redirect-only route; no marketing shell,0,redirect,other,none,other,other,inline,site
/portal/svg-catalog,workspace/catalog lane; not homepage marketing,0,workspace,other,none,other,other,inline,site
/portal/svg-catalog/[slug],workspace/catalog lane; not homepage marketing,0,workspace,other,none,other,other,inline,site
/portfolio,matches target,5,solutions-like,overflow-x-hidden,none,other,home-shell-xl,routeCopy.ts,site
/privacy,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,inline,site
/products,workspace/catalog lane; not homepage marketing,1,catalog-product,overflow-x-hidden,Hero,homepage-components,other,inline,site
/products/[category],workspace/catalog lane; not homepage marketing,1,catalog-product,overflow-x-hidden,none,other,home-shell-xl,routeCopy.ts,site
/products/[category]/[product],workspace/catalog lane; not homepage marketing,1,catalog-product,overflow-x-hidden,none,other,home-shell-xl,routeCopy.ts,site
/products/category/[slug],workspace/catalog lane; not homepage marketing,1,catalog-product,overflow-x-hidden,none,other,home-shell-xl,routeCopy.ts,site
/projects,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,routeCopy.ts,site
/quote-cart,workspace/catalog lane; not homepage marketing,1,catalog-product,overflow-x-hidden,Hero,other,other,routeCopy.ts,site
/refund-and-return-policy,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,inline,site
/repo-store,matches target,5,solutions-like,overflow-x-hidden,none,other,other,inline,site
/service,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,routeCopy.ts,site
/showrooms,matches target,5,solutions-like,overflow-x-hidden,none,other,home-shell-xl,routeCopy.ts,site
/social,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,routeCopy.ts,site
/solutions,golden inner-page reference (Hero + home-section--*),5,solutions-like,overflow-x-hidden,none,other,home-shell-xl,inline,site
/solutions/[category],matches target,5,solutions-like,overflow-x-hidden,Hero,other,other,inline,site
/support-ivr,matches target,5,solutions-like,overflow-x-hidden,Hero,homepage-components,other,routeCopy.ts,site
/sustainability,matches target,5,solutions-like,overflow-x-hidden,none,other,home-shell-xl,routeCopy.ts,site
/templates,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,inline,site
/terms,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,homepage.ts,site
/tracking,matches target,5,solutions-like,overflow-x-hidden,Hero,mixed,other,routeCopy.ts,site
/trusted-by,matches target,5,solutions-like,overflow-x-hidden,Hero,homepage-components,other,routeCopy.ts,site
